id,name,colour,email_address,music_genre
1,Byrann Engelbrecht,Pink,bengelbrecht0@hc360.com,Hip Hop
2,Graig Fowell,Crimson,gfowell1@businessweek.com,Classical
3,Elliott Cupper,Aquamarine,ecupper2@businesswire.com,Rock
4,Gianni Freddi,Puce,gfreddi3@deliciousdays.com,Country
5,Mignonne Gounet,Red,mgounet4@creativecommons.org,Jazz
6,Leoline Bly,Aquamarine,lbly5@businessinsider.com,Electronic
7,Caroline Nurny,Mauv,cnurny6@addthis.com,Reggae
8,Darcie Hearle,Goldenrod,dhearle7@netscape.com,Hip Hop
9,Mag Frary,Aquamarine,mfrary8@tmall.com,Reggae
10,Nananne Poizer,Teal,npoizer9@youku.com,Pop
11,Justen Skae,Mauv,jskaea@google.co.uk,Hip Hop
12,Ardella Swett,Red,aswettb@topsy.com,Metal
13,Amity Thelwll,Violet,athelwllc@bigcartel.com,Classical
14,Elspeth O'Neil,Aquamarine,eoneild@pbs.org,Metal
15,Arleta Attwood,Aquamarine,aattwoode@china.com.cn,Pop
16,Mechelle Hackford,Crimson,mhackfordf@furl.net,R&B
17,Lidia Godber,Puce,lgodberg@booking.com,Pop
18,Gretal Britto,Maroon,gbrittoh@usgs.gov,Reggae
19,Kimberlyn Winspar,Teal,kwinspari@youtu.be,Metal
20,Whitman Loney,Blue,wloneyj@nyu.edu,Rock
